State,X,Y
Himachal Pradesh,-117.0, 285.0
Punjab,-167.0, 259.0
Uttarakhand,-80.0, 241.0
Haryana,-148.0, 210.0
Rajasthan,-222.0, 152.0
Uttar Pradesh,-41.0, 150.0
Bihar,80.0, 112.0
Gujarat,-277.0, 48.0
Madhya Pradesh,-108.0, 39.0
Chhattisgarh,-15.0, 11.0
Jharkhand,58.0, 52.0
West Bengal,129.0, 42.0
Maharashtra,-207.0, -68.0
Odisha,46.0, -33.0
Goa,-231.0, -165.0
Karnataka,-181.0, -191.0
Telangana,-88.0, -104.0
Andhra Pradesh,-89.0, -171.0
Kerala,-176.0, -301.0
Tamil Nadu,-112.0, -291.0
Sikkim,144.0, 164.0
Arunachal Pradesh,289.0, 193.0
Assam,230.0, 137.0
Nagaland,296.0, 133.0
Meghalaya,209.0, 109.0
Manipur,283.0, 88.0
Tripura,224.0, 62.0
Mizoram,259.0, 49.0